Rank,Fighter,Current_Rating,Peak_Rating,RD,Volatility,Fights,Wins,Losses,Draws,Weight_Class,Last_Fight
109,Myktybek Orolbai,1747.3,1747.3,125.7,0.06,6,5,1,0,Welterweight,"March 14, 2026"
110,Ikram Aliskerov,1746.5,1746.5,130.8,0.06,5,4,1,0,Middleweight,"October 25, 2025"
111,Anthony Pettis,1745.6,1856.0,85.4,0.06,20,11,9,0,Welterweight,"December 19, 2020"
112,David Martinez,1745.3,1745.3,150.1,0.06,3,3,0,0,Bantamweight,"February 28, 2026"
113,Chael Sonnen,1744.9,1779.5,106.0,0.06,14,7,7,0,Heavyweight,"November 16, 2013"
114,Oleg Taktarov,1744.0,1744.5,114.5,0.06,9,6,2,1,Other,"December 16, 1995"
115,Neil Magny,1743.1,1779.1,73.4,0.06,37,24,13,0,Welterweight,"December 13, 2025"
116,Michael Bisping,1741.5,1817.6,85.3,0.06,29,20,9,0,Middleweight,"November 25, 2017"
117,Gregory Rodrigues,1741.5,1741.5,98.6,0.06,13,10,3,0,Middleweight,"March 07, 2026"
118,Rose Namajunas,1740.5,1808.2,93.6,0.06,19,12,6,1,Women's Flyweight,"January 24, 2026"
119,Johny Hendricks,1740.1,1916.2,84.4,0.06,21,13,8,0,Middleweight,"November 04, 2017"
120,Jordan Johnson,1740.0,1740.0,144.4,0.06,4,4,0,0,Middleweight,"September 15, 2018"
121,Mairon Santos,1739.7,1739.7,141.5,0.06,4,4,0,0,Featherweight,"December 06, 2025"
122,Randy Brown,1739.5,1764.8,83.7,0.06,21,14,7,0,Welterweight,"November 08, 2025"
123,Virna Jandiroba,1738.9,1749.1,95.9,0.06,13,9,4,0,Women's Strawweight,"April 04, 2026"
124,Reinier de Ridder,1737.0,1824.5,122.0,0.06,6,4,2,0,Middleweight,"March 07, 2026"
125,Paul Felder,1736.3,1774.2,91.4,0.06,15,9,5,1,Lightweight,"November 14, 2020"
126,Nathaniel Wood,1736.1,1755.2,99.7,0.06,14,11,3,0,Featherweight,"March 21, 2026"
127,Bryan Battle,1734.6,1734.6,113.3,0.06,9,7,1,1,Welterweight,"December 07, 2024"
128,Chepe Mariscal,1734.6,1786.1,126.7,0.06,6,5,1,0,Featherweight,"November 15, 2025"
129,David Teymur,1732.0,1798.2,126.1,0.06,6,5,1,0,Lightweight,"February 02, 2019"
130,Steve Garcia,1731.7,1731.7,107.5,0.06,10,8,2,0,Featherweight,"November 01, 2025"
131,Joaquin Buckley,1730.6,1750.9,91.3,0.06,16,11,5,0,Welterweight,"June 14, 2025"
132,Matt Hughes,1730.4,1830.6,82.1,0.06,25,18,7,0,Welterweight,"September 24, 2011"
133,Tyron Woodley,1730.2,1890.7,100.8,0.06,16,9,6,1,Welterweight,"March 27, 2021"
134,Melquizael Costa,1730.2,1730.2,108.4,0.06,9,7,2,0,Featherweight,"February 21, 2026"
135,Kayla Harrison,1730.1,1730.1,147.4,0.06,3,3,0,0,Women's Bantamweight,"June 07, 2025"
136,Bryce Mitchell,1729.4,1760.4,102.7,0.06,12,9,3,0,Bantamweight,"July 26, 2025"
137,Vinicius Oliveira,1729.2,1780.9,130.5,0.06,5,4,1,0,Bantamweight,"February 07, 2026"
138,Derrick Lewis,1728.6,1823.2,82.6,0.06,31,20,11,0,Heavyweight,"January 24, 2026"
139,Manuel Torres,1726.4,1726.4,126.5,0.06,6,5,1,0,Lightweight,"December 06, 2025"
140,Shane Burgos,1726.1,1744.6,102.9,0.06,11,8,3,0,Featherweight,"July 16, 2022"
141,Norma Dumont,1726.0,1726.0,109.1,0.06,11,9,2,0,Women's Bantamweight,"November 01, 2025"
142,Eddie Alvarez,1725.6,1767.8,119.1,0.06,8,4,3,1,Lightweight,"July 28, 2018"
143,Jared Cannonier,1725.6,1775.7,87.2,0.06,20,11,9,0,Middleweight,"August 16, 2025"
144,Jacare Souza,1725.2,1907.4,99.2,0.06,16,9,7,0,Middleweight,"May 15, 2021"
145,Junior Dos Santos,1724.0,1972.8,94.8,0.06,23,15,7,1,Heavyweight,"December 12, 2020"
146,Corey Anderson,1723.4,1757.8,92.7,0.06,15,10,4,1,Heavyweight,"February 15, 2020"
147,Tony Ferguson,1722.4,1946.2,82.3,0.06,24,15,9,0,Welterweight,"August 03, 2024"
148,Montel Jackson,1721.2,1746.6,110.1,0.06,12,9,3,0,Bantamweight,"October 11, 2025"
149,Gregor Gillespie,1720.3,1796.5,125.6,0.06,8,7,1,0,Lightweight,"May 08, 2021"
150,Brandon Moreno,1720.2,1801.9,87.5,0.06,20,11,7,2,Flyweight,"February 28, 2026"
151,Rafael Dos Anjos,1719.4,1858.4,77.4,0.06,36,21,15,0,Welterweight,"October 26, 2024"
152,Michael Chiesa,1717.6,1762.0,95.7,0.06,22,15,7,0,Welterweight,"March 28, 2026"
153,Elias Theodorou,1717.6,1747.5,103.1,0.06,11,8,3,0,Middleweight,"May 04, 2019"
154,Asu Almabayev,1717.0,1724.4,120.6,0.06,7,6,1,0,Flyweight,"November 22, 2025"
155,Raoni Barcelos,1716.8,1776.9,98.6,0.06,14,10,4,0,Bantamweight,"November 08, 2025"
156,Martin Kampmann,1715.7,1764.8,93.0,0.06,17,11,5,1,Welterweight,"August 28, 2013"
157,Roman Dolidze,1715.3,1754.4,95.2,0.06,14,9,4,1,Middleweight,"March 21, 2026"
158,Pat Miletich,1712.9,1800.0,114.4,0.06,10,8,2,0,Middleweight,"March 22, 2002"
159,Yan Xiaonan,1712.9,1754.2,96.8,0.06,13,9,4,0,Women's Strawweight,"April 12, 2025"
160,Shane Carwin,1712.8,1817.4,128.5,0.06,6,4,2,0,Heavyweight,"June 11, 2011"
161,Rob Font,1712.7,1794.7,84.8,0.06,21,12,8,1,Bantamweight,"March 07, 2026"
162,Jorge Masvidal,1712.4,1791.5,94.3,0.06,22,12,10,0,Welterweight,"April 08, 2023"
163,Thiago Silva,1712.2,1783.3,106.4,0.06,12,7,3,2,Heavyweight,"October 09, 2013"
164,Geoff Neal,1712.1,1815.6,94.4,0.06,14,8,6,0,Welterweight,"February 21, 2026"
165,Stephen Thompson,1711.9,1873.9,90.1,0.06,22,12,9,1,Welterweight,"July 12, 2025"
166,Alexa Grasso,1711.9,1725.7,96.8,0.06,15,9,5,1,Women's Flyweight,"March 28, 2026"
167,Joseph Benavidez,1709.8,1814.5,88.8,0.06,21,15,6,0,Flyweight,"March 06, 2021"
168,Chris Padilla,1708.9,1708.9,142.8,0.06,4,4,0,0,Lightweight,"November 08, 2025"
